topic,assigned,demilestoned,reopened,referenced,subscribed,mentioned,marked_as_duplicate,cross-referenced,connected,pinned,committed,review_requested,review_dismissed
topic_0,1105,468,97,2908,7182,4016,4,0,4,1,0,761,36
topic_1,4229,2003,716,14470,43978,37376,42,0,11,7,0,2419,123
topic_2,62,18,9,184,373,326,1,0,0,1,0,14,0
topic_3,872,298,144,2392,7236,6557,13,0,4,1,0,322,7
topic_4,116,35,24,368,1034,886,2,0,1,1,0,28,2
topic_5,1073,447,107,1846,4452,3915,23,0,3,0,0,152,7
topic_6,363,100,26,1127,1334,1101,9,0,3,0,0,218,3
topic_7,569,36,45,1406,2586,2509,1,0,0,0,0,744,11
topic_8,1658,265,181,10784,16211,12055,7,0,11,0,0,3014,108
topic_9,72,38,11,376,422,338,1,0,0,0,0,71,6
topic_10,978,175,93,2155,4486,3485,17,0,7,0,0,416,12
