Sub-Category,Java,PHP,JavaScript,C#,Python,Shell,C++,C,Ruby,Objective-C,Swift,PowerShell,Perl,Go,TypeScript,All
Encryption,5,3,3,6,10,2,13,25,16,35,14,17,22,48,0,6
Algorithms,5,0,3,3,4,12,14,21,0,0,0,0,0,0,0,4
Encoding,4,2,2,4,0,0,2,0,0,0,5,0,1,0,0,3
Login,5,10,5,12,8,10,5,0,18,32,9,34,9,0,29,9
Tokens,5,9,10,5,17,0,0,0,17,0,10,0,0,25,17,8
Access Control,8,0,0,3,0,18,0,0,0,0,4,17,0,0,0,3
Client/Server,5,0,5,6,0,0,9,9,0,0,0,0,25,0,0,3
Digital Certificates,3,4,2,0,7,2,6,3,13,33,6,9,7,27,0,4
Exploits,1,11,11,3,18,0,0,0,5,0,0,0,0,0,10,6
File Transfer,0,6,3,3,2,6,0,0,0,0,0,0,0,0,0,3
Remote Access,0,0,0,0,6,29,0,0,0,0,0,0,0,0,0,2
Viruses,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Password/Data Storage,5,6,4,18,10,0,19,11,11,0,5,0,22,0,0,8
Checksums,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Signature,9,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3
Stack/Heap Memory,0,0,0,0,0,0,5,21,0,0,0,0,0,0,0,1
Memory Leaks,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Pointers,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0
Thread/Process Management,2,0,0,0,0,0,7,3,0,0,0,0,0,0,0,1
Implementation,5,24,38,1,0,0,1,0,9,0,21,23,15,0,44,14
Testing,24,21,11,24,19,0,1,0,11,0,9,0,0,0,0,18
Libraries,0,3,0,2,0,2,9,0,0,0,5,0,0,0,0,1
Configuration,12,0,0,3,0,13,0,0,0,0,6,0,0,0,0,4
GitHub/Reports,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
